title,description,url,published_at,source,categories,sentiment,political_orientation
Pro-Andrew Cuomo super PAC depicts Zohran Mamdani in front of Twin Towers attack in late ad,A super PAC supporting former New York Gov.,https://www.nbcnews.com/politics/elections/-andrew-cuomo-super-pac-depicts-zohran-mamdani-front-twin-towers-attac-rcna241651,2025-11-03,NBC News,Controversy,Negative,left
Trump tells New Yorkers to vote for Andrew Cuomo in NYC mayor's race,The president urged New York City voters to elect former Gov. Andrew Cuomo in Tuesday's mayoral election and threatened to withhold funding if Zohran Mamdani wins.,https://www.cbsnews.com/newyork/news/trump-cuomo-nyc-mayor-race/,2025-11-03,CBS News,Controversy,Negative,left
"Trump: Will be ""hard"" to give money if ""communist"" Mamdani is mayor","Days before Election Day, the president dismissed former New York governor Andrew Cuomo's suggestion that he would send ""tanks"" to New York City if front-runner Zohran Mamdani wins.",https://www.cbsnews.com/video/trump-will-be-hard-to-give-money-if-communist-mamdani-is-mayor/,2025-11-03,CBS News,Controversy,Negative,left
"Mamdani's rice-eating habit with hands sparks debate, plus Vegas star calls out pricing issues","DINING DIVIDE: For eating rice with his hands, New York City mayoral candidate Zohran Mamdani has faced criticism, sparking debate about cultural food practices. 'BE UPFRONT': Rick Harrison of ""Pawn Stars"" reveals what bothers tourists about pricing issues on the Las Vegas Strip. 'LIVING HISTORY': ...",https://www.foxnews.com/lifestyle/mamdanis-rice-eating-habit-hands-sparks-debate-plus-vegas-star-calls-out-pricing-issues,2025-11-04,Fox News,Controversy,Neutral,right
AOC pushes back after GOP lawmaker calls Mamdani's Arabic campaigning a 'humiliation',"Curtis Sliwa says open-air prostitution on Roosevelt Avenue would expand across New York City if Zohran Mamdani becomes mayor and vows to crack down on landlords and pimps. Rep. Alexandria Ocasio-Cortez, D-N.Y., defended Democratic New York City mayoral candidate Zohran Mamdani after Republican ...",https://www.foxnews.com/politics/aoc-pushes-back-after-gop-lawmaker-calls-mamdanis-arabic-campaigning-humiliation,2025-11-04,Fox News,Controversy,Negative,right
Trump asserts that any Jewish person who votes for 'self professed Jew hater' Mamdani is 'a stupid person',"President Donald Trump called the Mamdani 'a proven and self professed JEW HATER' NEWYou can now listen to Fox News articles! As voters head to the polls on Tuesday to pick their next mayor, President Donald Trump asserted that any Jewish person who casts a ballot for Democratic socialist ...",https://www.foxnews.com/politics/trump-asserts-jewish-person-votes-self-professed-jew-hater-mamdani-stupid-person,2025-11-04,Fox News,Controversy,Negative,right
White House slams Mamdani's 'completely irresponsible' comments linking Trump to threats against voters,"White House press secretary Karoline Leavitt blasted New York City mayoral candidate Zohran Mamdani after he claimed the Trump administration was ""trying to intimidate voters."" The White House slammed New York City mayoral candidate Zohran Mamdani after he linked the Trump administration to threats ...",https://www.foxnews.com/politics/white-house-slams-mamdanis-completely-irresponsible-comments-linking-trump-threats-against-voters,2025-11-04,Fox News,Controversy,Negative,right
"AOC's 'red light district' prostitution crisis will engulf NYC if Mamdani wins mayor's race, rivals warn",Curtis Sliwa says open-air prostitution on Roosevelt Avenue would expand across New York City if Zohran Mamdani becomes mayor and vows to crack down on landlords and pimps. Curtis Sliwa and Andrew Cuomo are warning that a prostitution-plagued strip in Rep. Alexandria Ocasio-Cortez's district will ...,https://www.foxnews.com/us/aoc-red-light-district-prostitution-crisis-will-engulf-nyc-if-mamdani-wins-mayors-race-rivals-warn,2025-11-04,Fox News,Controversy,Negative,right
UK politician campaigning for Zohran Mamdani prompts foreign meddling accusations,New York City Democratic mayoral nominee Zohran Mamdani vowed to fight back against the Trump administration if elected mayor. Republicans are blasting New York City mayoral candidate Zohran Mamdani for getting help from a foreign government official in the waning days of his campaign. Jeremy ...,https://www.foxnews.com/politics/uk-politician-campaigning-zohran-mamdani-prompts-foreign-meddling-accusations,2025-11-04,Fox News,Controversy,Negative,right
Trump weighs in on New York City mayoral race,"In his ""60 Minutes"" interview, President Trump weighed in on the race for mayor of New York City. Mr. Trump has declined to endorse the Republican nominee, Curtis Sliwa, and calls the Democratic Party nominee, Zohran Mamdani, a communist. Ed O'Keefe is coveri…",https://www.cbsnews.com/video/trump-weighs-in-on-new-york-city-mayoral-race/,2025-11-04,CBS News,Controversy,Negative,left
Trump says Jewish people who support Zohran Mamdani for New York City mayor are 'stupid',"President Donald Trump said Tuesday that any Jewish person who votes for Assemblyman Zohran Mamdani, the Democratic nominee for New York City mayor, is ""stupid.""“Any Jewish person that votes for Zohran Mamdani, a proven and self professed JEW HATER, is a stup…",https://www.nbcnews.com/politics/elections/election-day-2025-trump-mamdani-jewish-voters-rcna241921,2025-11-04,NBC News,Controversy,Negative,left
AMICHAI CHIKLI -- Israel's minister for combating antisemitism warns Mamdani win a wake-up call for Jews,"Florida Gov. Ron DeSantis weighs in on key East Coast races Election Day on 'Hannity.' On Tuesday night, New Yorkers elected Zohran Mamdani mayor. By doing so, the city that once stood as the world's beacon of liberty has handed the keys of power to a Hamas sympathizer. This marks a critical ...",https://www.foxnews.com/opinion/amichai-chikli-israels-minister-combating-antisemitism-warns-mamdani-win-wake-up-call-jews,2025-11-05,Fox News,Controversy,Negative,right
Jewish groups issue post-election warning to Mamdani as he prepares to lead New York City,"Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. Jewish organizations are speaking out as self-identified Democratic socialist Zohran Mamdani prepares to take the reins of America's most populous city. The UJA-Federation of New York, JCRC-NY, ADL New York/New ...",https://www.foxnews.com/politics/jewish-groups-issue-post-election-warning-mamdani-he-prepares-lead-new-york-city,2025-11-05,Fox News,Controversy,Negative,right
