title,description,url,published_at,source,categories,sentiment,political_orientation
New York Gov. Hochul formally endorses Zohran Mamdani for NYC mayor,New York Gov. Kathy Hochul formally endorses Zohran Mamdani for NYC mayor.,https://abcnews.go.com/Politics/new-york-gov-hochul-formally-endorses-zohran-mamdani/story?id=125567563,2025-09-15,The New York Times,Endorsements,Positive,left
Hochul Endorses Mamdani for Mayor of New York,"Gov. Kathy Hochul of New York backed Zohran Mamdani, the Democratic nominee for mayor, in a New York Times essay. Her support comes as Democrats are starting to coalesce around him.",https://www.nytimes.com/2025/09/14/nyregion/hochul-mamdani-mayor-endorsement.html,2025-09-15,The New York Times,Endorsements,Positive,left
New York Gov. Kathy Hochul endorses Zohran Mamdani for NYC mayor,"Gov. Kathy Hochul on Sunday urged New Yorkers to vote Zohran Mamdani for mayor of New York City, giving the Democratic nominee one of his most significant endorsements to date.",https://www.katc.com/politics/new-york-gov-kathy-hochul-endorses-zohran-mamdani-for-nyc-mayor,2025-09-15,KATC,Endorsements,Positive,center
Speaker Carl Heastie to endorse Zohran Mamdani as Dem establishment rallies behind socialist,The powerful Bronx Dem’s endorsement is “imminent” a source close to his and Mamdani’s camps told The Post.,https://nypost.com/2025/09/16/us-news/carl-heastie-to-endorse-zohran-mamdani-after-hochuls-shock-move/,2025-09-16,New York Post,Endorsements,Neutral,right
"Carl Heastie, Another Democratic Holdout, Is Expected to Endorse Mamdani","Mr. Heastie, the speaker of the New York State Assembly, is one of several prominent Democrats who had resisted backing Zohran Mamdani, the party’s nominee for New York City mayor.",https://www.nytimes.com/2025/09/16/nyregion/heastie-mamdani-endorsement-nyc-mayor.html,2025-09-16,The New York Times,Endorsements,Neutral,left
"Kathy Hochul Endorses Zohran Mamdani for Mayor, Citing His Efforts to Address Jewish Leaders’ Concerns","New York Gov. Kathy Hochul has delivered her long-awaited endorsement in the New York City mayoral race, backing Zohran Mamdani in a New York Times op-ed on Sept. 14, JTA reported. Her endorsement comes amid a string of polls predicting Mamdani’s victory with 50 days to the election. It also follows months of questions about [&#8230;]The post Kathy Hochul Endorses Zohran Mamdani for Mayor, Citing His Efforts to Address Jewish Leaders’ Concerns appeared first on Baltimore Jewish Times.",https://www.jewishtimes.com/kathy-hochul-endorses-zohran-mamdani-for-mayor-citing-his-efforts-to-address-jewish-leaders-concerns/,2025-09-16,Jewish Times,Endorsements,Positive,center
Hochul argues Zohran Mamdani would be best candidate to ‘stand up’ to Trump — as she defends shock endorsement in NYC mayoral race,"She’s standing by her Mam. Gov. Kathy Hochul defended her shocking endorsement of Zohran Mamdani, arguing Tuesday the socialist mayoral contender is the best candidate to fight Donald Trump. New York City&#8217;s next mayor needs to &#8220;stand up&#8221; against Trump&#8217;s desire to lord over City Hall &#8212; and Mamdani fit that bill best out of...",https://nypost.com/2025/09/16/us-news/hochul-argues-zohran-mamdani-would-be-best-candidate-to-stand-up-to-trump-as-she-defends-shock-endorsement-in-nyc-mayoral-race/,2025-09-16,New York Post,Endorsements,Positive,right
NY Assembly Speaker Carl Heastie promises to help Zohran Mamdani raise taxes on rich as he endorses socialist NYC mayoral contender,Wealthy New Yorkers are going to be making a Heastie retreat. State Assembly Speaker Carl Heastie vowed to help Zohran Mamdani raise taxes on Big Apple millionaires as he officially endorsed the socialist mayoral frontrunner Wednesday. The powerful Bronx Democrat &#8212; when asked whether he&#8217;d wield his influence in Albany to deliver Mamdani&#8217;s proposals of...,https://nypost.com/2025/09/17/us-news/ny-assembly-speaker-carl-heastie-promises-to-help-zohran-mamdani-raise-taxes-on-rich-as-he-endorses-socialist-nyc-mayoral-contender/,2025-09-17,New York Post,Endorsements,Positive,right
Eric Adams praises NY Dem boss for refusing to endorse Zohran Mamdani: ‘Rejecting the march toward socialism’,"Mayor Eric Adams praised New York Democratic Chairman Jay Jacobs on Friday for defiantly refusing to endorse socialist Zohran Mamdani &#8212; a stance that highlighted a deep rift in the party. Adams, in a pointed statement backing Jacobs and decrying the party&#8217;s leftward swing, also took clear aim at Gov. Kathy Hochul for her shock...",https://nypost.com/2025/09/19/us-news/eric-adams-praises-ny-dem-boss-for-refusing-to-endorse-zohran-mamdani/,2025-09-19,New York Post,Endorsements,Negative,right
NY Dem Party boss explains controversial decision to stand against Zohran Mamdani: ‘I am not reckless’,New York Democratic Chairman Jay Jacobs explained on Friday his controversial decision to buck Gov. Kathy Hochul and refuse to endorse the party's lefty mayoral nominee Zohran Mamdani.,https://nypost.com/2025/09/19/us-news/jay-jacobs-explains-decision-to-stand-against-zohran-mamdani-i-am-not-reckless/,2025-09-19,New York Post,Endorsements,Neutral,right
Minority Leader Hakeem Jeffries in talks with socialist Mamdani to endorse him for NYC mayor,"Rep. Hakeem Jeffries, the House Democratic Minority leader from Brooklyn, is in discussions to endorse lefty Democratic nominee Zohran Mamdani for mayor, sources said Sunday.",https://nypost.com/2025/09/21/us-news/hakeem-jeffries-in-talks-to-endorse-mamdani-for-nyc-mayor/,2025-09-21,New York Post,Endorsements,Neutral,right
"City Scoop: Mamdani endorsed by Gov. Hochul, and other top stories across NYC","Gov. Hochul endorses Mamdani Governor Kathy Hochul endorsed Democratic mayoral nominee Zohran Mamdani in New York City’s heated mayoral election via a New York Times guest essay last Sunday. In her endorsement letter, Hochul said their shared goals of creating a safer and affordable city overrode their previous disagreements. “In our conversations, I heard a...This story City Scoop: Mamdani endorsed by Gov. Hochul, and other top stories across NYC appeared first on Washington Square News.",https://nyunews.com/news/2025/09/22/luigi-mangione-hochul-mamdani-endorsement-lander-arrested/,2025-09-22,NYU News,Endorsements,Positive,center
Kamala Harris offers half-hearted endorsement of NYC mayoral candidate Zohran Mamdani: ‘Sure’,"“Look, as far as I'm concerned, he's the Democratic nominee, and he should be supported,” Harris said in an interview with MSNBC host Rachel Maddow.",https://nypost.com/2025/09/23/us-news/kamala-harris-offers-half-hearted-endorsement-of-nyc-mayoral-candidate-zohran-mamdani-sure/,2025-09-23,New York Post,Endorsements,Neutral,right
Gov. Hochul won’t answer how her NYC mayor pick Zohran Mamdani should make amends to NYPD after anti-cop statements,"Before her endorsement, Hochul said Mamdani should apologize to police for incendiary remarks, such as a 2020 Tweet where he called NYPD “racist, anti-queer & a major threat to public safety.”",https://nypost.com/2025/09/23/us-news/gov-hochul-wont-answer-how-her-nyc-mayor-pick-zohran-mamdani-should-make-amends-to-nypd-after-anti-cop-statements/,2025-09-23,New York Post,Endorsements,Neutral,right
"Rudy Giuliani endorses fellow Republican Sliwa for NYC mayor, rips Mamdani, Cuomo","Rudy Giuliani endorsed fellow Republican Curtis Sliwa for mayor Monday night, blasting both Democratic-front runner Zohran Mamdani and ex-Gov. Andrew Cuomo, who is running as an independent.",https://nypost.com/2025/10/07/us-news/rudy-giuliani-endorses-sliwa-for-mayor-rips-mamdani-and-cuomo/,2025-10-07,New York Post,Endorsements,Negative,right
Jeffries hints at imminent decision on Mamdani endorsement after dodging questions for weeks,"Businessman John Catsimatidis and radio host Sid Rosenberg join 'One Nation' to break down the New York City mayoral debate and discuss Curtis Sliwa's chances of victory. House Minority Leader Hakeem Jeffries, D-N.Y., is expected to imminently weigh in on the New York City mayoral race after ...",https://www.foxnews.com/politics/jeffries-hints-imminent-decision-mamdani-endorsement-after-dodging-questions-weeks,2025-10-20,Fox News,Endorsements,Neutral,right
Rep. Elise Stefanik blasts Gov Hochul's Zohran Mamdani endorsement...,"Rep. Elise Stefanik blasted Gov. Kathy Hochul's ""desperate"" endorsement of Zohran Mamdani after the Democratic socialist mayoral candidate's association with an alleged terror-tied imam sparked backlash. The Republican congresswoman took aim at Hochul in a fiery social media post on Monday as she ...",https://nypost.com/2025/10/20/us-news/rep-elise-stefanik-blasts-gov-hochuls-zohran-mamdani-endorsement-after-hes-tied-to-terror-suspect-imam/,2025-10-20,New York Post,Endorsements,Negative,right
"Clinton campaign alum urges Jeffries, Schumer not to 'take the bait,' get 'bullied' into Mamdani endorsement","Democratic commentator Kaivan Shroff told Fox News Digital that Senate Minority Leader Chuck Schumer, D-N.Y., and House Minority Leader Hakeem Jeffries, D-N.Y., endorsing now would demonstrate ""weakness."" House Minority Leader Hakeem Jeffries and Senate Minority Leader Chuck Schumer choosing to ...",https://www.foxnews.com/politics/clinton-campaign-alum-urges-jeffries-schumer-not-take-bait-get-bullied-mamdani-endorsement,2025-10-22,Fox News,Endorsements,Negative,right
NYC Mayor Adams to endorse Cuomo in race again Mamdani,"New York City Mayor Eric Adams will reportedly endorse former New York Gov. Andrew Cuomo in the city's mayoral race as he faces off against Democratic nominee Zohran Mamdani. ""I think that it is imperative to really wake up the Black and brown communities that have suffered from gentrification on ...",https://www.foxnews.com/politics/nyc-mayor-adams-endorse-cuomo-race-again-mamdani,2025-10-23,Fox News,Endorsements,Neutral,right
Mayor Eric Adams endorses Andrew Cuomo for NYC mayor to stop Zohran Mamdani,"NEW YORK - Scandal-plagued outgoing New York City Mayor Eric Adams will endorse former Gov. Andrew Cuomo to replace him to lead the nation's largest city, a spokesperson confirmed to USA TODAY on Oct. 23. Cuomo, the 67-year-old independent candidate, has sought to shore up moderate and conservative ...",https://ca.news.yahoo.com/mayor-eric-adams-endorses-andrew-174023986.html,2025-10-23,Yahoo,Endorsements,Positive,left
